site	keelres	finres	pectres
300	0.387470967	-0.917388828	-0.721530156
300	-0.001313723	-0.493651467	0.562867456
300	0.07168787	-0.178948905	0.333597074
300	0.422258844	-0.411721066	-0.239468531
300	-0.353026643	0.104665015	0.132064271
300	1.148788355	1.416758247	-1.809987402
300	-0.531064918	-1.204678388	0.891070242
300	-0.536570495	-1.656137355	-0.048983422
300	0.766651189	-0.073589746	0.323332663
300	0.273502869	-0.166855672	0.0115454
300	-0.28438868	0.202364289	0.381609015
300	-0.690098413	0.930085894	-0.012734933
300	-0.691709255	-0.16118791	0.148607025
300	0.30875964	-0.704369785	0.028396278
200	-0.071562528	-0.882624545	-0.000335331
200	0.114938269	-1.175273265	-0.022470522
200	-0.200171776	-0.259195788	-0.353263755
200	0.192507649	0.377252013	-0.706265745
200	-0.171562528	-0.182624545	0.024664669
200	0.08290318	-0.255211544	-0.102005315
200	0.50097017	-0.524740109	-0.579394965
200	-0.038385493	0.631769413	0.068068252
200	0.245213548	-0.432700316	0.229782161
200	-0.112529033	0.082611172	0.083469844
200	0.861614507	-0.068230587	-0.246931748
200	0.199828224	-0.559195788	NA
200	0.060003665	0.440495608	0.124410209
200	0.021116897	-0.346176744	0.291662679
200	0.484045127	0.279244135	0.031863475
200	-0.088956466	0.664541573	-1.078866143
200	-0.009776245	0.008340655	0.215996676
200	0.048115304	0.539120694	0.160933061
200	-0.223275448	-0.784308064	0.203861485
200	-0.114812926	-0.886300186	0.685732265
200	0.233474154	0.412016296	-0.17507092
200	0.302581012	0.866533695	-0.570736923
200	0.2638984	-0.099319229	0.615805831
200	-0.05416859	-1.529790664	0.233195482
200	-0.022133501	0.450147615	-1.252269726
100	0.825684684	0.791645971	-0.132862163
100	-0.000171776	0.040804212	3.286736245
100	0.043078622	-0.355520147	-0.04933135
100	0.113327427	-0.466547069	0.688871436
100	1.068935082	0.495321612	0.066070242
100	0.084045127	-0.920755865	0.256863475
100	1.150399197	0.108032052	0.80867064
100	0.43804194	1.249839011	-0.054595761
100	0.330721365	0.186286812	0.037402248
100	0.398686277	-0.393651467	0.587867456
100	0.81218548	-0.601002748	NA
100	0.494791542	-0.553836629	0.406471834
100	0.7638984	0.400680771	-0.339194169
100	0.451541144	-1.757512269	0.38753943
100	0.180150392	0.219058973	0.755467854
100	0.067793135	0.160865933	0.752201452
100	-0.144564121	0.602672893	-0.106064949
100	-0.268136688	0.520742491	NA
100	0.072829817	0.655506774	-0.387534137
100	0.76047256	0.497313734	-0.060800538
100	0.566651189	0.726410254	0.803332663
100	0.476255657	-0.041126189	0.304072232
100	0.206006852	-0.630099268	0.710869446
100	0.480150392	0.119058973	0.225467854
100	0.703254064	0.344171249	-0.086657386
100	0.391365702	1.242796334	-0.025134535
100	0.08290318	0.444788456	0.347994685
0	0.605576547	1.21971833	-0.376628173
0	0.090036197	0.785613405	0.115080975
0	-0.181354554	0.982184647	-0.011990601
0	0.152627902	0.442215508	-0.404257998
0	0.0260598	0.157100472	-0.156030761
0	0.555099353	0.603854116	-1.410604717
0	0.164891379	0.219044923	-0.303949447
0	0.112990901	0.534634154	-0.895668332
0	-0.133966674	0.313500602	0.164919343
0	0.134092017	0.324925948	0.0883424
0	0.112560596	0.494451752	-0.748165951
0	-0.080775282	-0.421541424	0.204131085
0	0.114281816	-0.18481864	-0.563175475
0	0.193219291	0.31152529	-0.344894575
0	-0.1050209	-0.561109379	0.387387535
0	0.231769533	1.139378866	-1.326686813
0	0.010668418	-0.060912927	-1.330697545
0	-0.495885327	1.634536053	2.708337852
0	-0.085249289	0.171999485	0.956613777
0	0.218981971	-0.498996576	0.677549167
0	0.202393454	0.743806445	0.303347376
0	0.080955813	-0.455304125	0.324796875
0	0.239989308	-0.920068407	0.133602049
0	-0.784201122	-1.154908461	0.732524716
0	0.567886914	-1.537770442	0.350159303
0	-0.13686843	1.021679592	0.513768443
0	0.038847361	-0.354524086	-0.56526674
0	0.196027268	0.761982675	0.453298474
0	0.305819294	1.087173482	-1.030046255
0	0.285280853	0.305063439	0.133690115
0	1.282715622	-0.607938794	-0.637921016
0	0.397638109	-0.736743521	-0.013043484
0	0.222071286	-0.354448316	0.124615767
0	-0.032394423	-0.181861317	-0.373714249
0	-0.386672573	-0.666547069	0.968871436
0	0.157719772	1.271584251	0.18167263
0	0.221116897	-0.446176744	0.611662679
-100	-0.020318503	0.162240848	-0.889321399
-100	0.688612914	-0.782933149	-0.077661367
-100	0.617222162	0.993638093	-0.719732942
-100	-0.02146045	-0.072214831	3.766809811
-100	-0.225355185	0.667600007	0.08041419
-100	0.587470967	-0.717388828	0.743469844
-100	0.111043534	-0.035458427	0.521133857
-100	0.087470967	-0.417388828	0.968469844
-100	-0.233348811	-0.773589746	-0.141667337
-100	0.316080215	0.559182414	-0.633601732
-100	-0.230071939	0.463685764	-0.098685036
-100	-0.653120422	0.22330139	0.099106421
-100	-0.688956466	-0.555458427	1.326133857
-100	-0.166900962	0.126561795	0.868097678
-100	0.216791857	1.593455691	0.042769438
-100	0.491796007	0.032978736	-0.147636916
-100	-0.09902983	0.665259891	-0.294394965
-100	-0.106780709	-0.03847471	0.075105425
-100	0.189848639	0.982886155	0.184165274
-100	-0.090192192	-0.051277731	-1.055692783
-100	0.276536994	0.832964686	-0.332054216
-100	0.19754433	0.451892854	-0.701001334
-100	0.748882134	-0.161878128	-0.257029552
-100	1.079532529	0.236149321	-0.837945466
-100	0.743696485	0.377389505	-0.74091803
-100	-0.080212608	-0.263359674	-0.743121812
-100	0.518981971	0.681003424	-1.167450833
-100	0.026677663	-0.979989876	0.44738256
-100	0.168935082	-0.374678388	1.051070242
-100	0.422071286	0.705551684	0.489615767
-100	-0.357445462	-0.087066174	0.33521318
-100	-0.479969861	0.684095478	0.883460106
-100	0.156296488	-0.466962304	1.228930289
-100	-0.032581981	0.785411433	0.32537005
-100	0.444838431	0.181845184	0.102950759
-100	-0.118950408	0.6860595	-0.207245275
-100	-0.03776763	-0.015320935	0.356481572
-100	-1.086711163	0.976817208	1.721579802
-100	-0.776356463	0.580189765	0.005982176
-100	-0.606874489	-0.369838335	0.637147575
-100	0.483388674	-0.04030124	-0.218841479
-200	0.054498088	0.889036642	-0.690643454
-200	0.222463	0.109098363	-1.745178247
-200	-0.223744343	0.158873811	0.614072232
-200	-0.418707661	0.353514652	-2.275663357
-200	-0.279351998	-0.10299487	-0.288126574
-200	-0.066994741	-0.74480183	0.310139828
-200	0.27511371	0.624418132	-0.184796557
-200	0.314469374	0.06790861	0.582740226
-200	-0.053495538	-0.952153111	0.172275019
-200	0.638714992	-0.472523435	-1.520516224
-200	0.314000478	1.211090485	-1.637049027
-200	-0.594517232	0.898354705	0.785413976
-200	0.21051945	1.032995546	-0.559321613
-200	-0.423032701	-0.046852912	1.350443403
-200	-0.535914042	1.413408021	-0.778278468
-200	-0.067761572	0.436196992	-0.90189756
-200	-0.196707346	0.140806972	0.250634248
-200	-0.081878638	0.300638621	-0.317446071
-200	-0.074558063	-0.87580918	0.105555919
-200	-0.312865559	1.133792395	-0.401069925
-200	0.339652782	0.151112816	-0.575937719
-200	-0.353550727	0.433118988	-0.243391198
-200	-0.640145302	-0.355595918	0.135786142
-200	0.061184202	0.051587011	-0.814429367
-200	-0.403691395	0.33607355	-0.637827974
-200	0.20525662	-0.251008268	-0.937793358
-200	-0.058962525	1.283023646	1.229512988
-200	-0.145088205	0.311126866	0.223479581
-200	-0.2662831	0.329471447	0.721510998
-200	-0.581635891	0.838093772	0.314135847
-200	0.101063949	0.356623516	0.333562885
-200	-0.347035573	0.961034285	-0.804718229
-200	-0.023650564	-1.379762564	1.312030083
